City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Gizo,SB,-8.103,156.8419,84.15,74,100,6.71,overcast clouds
337,Yanam,IN,16.7333,82.2167,96.8,52,40,6.91,scattered clouds
338,Magaria,NE,12.9983,8.9099,99.61,15,15,1.23,few clouds
339,Zhuhai,CN,22.2769,113.5678,87.8,79,20,10.36,few clouds
340,Kontagora,NG,10.3999,5.4695,88.14,50,99,6.73,overcast clouds
341,San Pedro,PH,14.35,121.0167,91.4,58,20,10.36,few clouds
342,Lisakovsk,KZ,52.5369,62.4936,90.81,17,10,5.91,clear sky
343,Disna,BY,55.568,28.1971,66.0,74,100,9.98,light rain
344,Saint Anthony,US,45.0205,-93.218,54.0,82,1,3.98,clear sky
345,Lokosovo,RU,61.1333,74.8167,53.42,86,100,5.77,light rain
346,Portree,GB,57.4129,-6.1942,50.0,76,75,8.01,broken clouds
