City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Qiyang,CN,2021-05-12 04:56:00,26.5911,111.8474,74.14,90,100,5.59
212,Klaksvik,FO,2021-05-12 04:56:01,62.2266,-6.589,37.4,75,82,8.05
213,Conde,BR,2021-05-12 04:53:06,-7.2597,-34.9075,73.4,100,40,5.75
214,Fortuna,US,2021-05-12 04:56:01,40.5982,-124.1573,51.01,87,1,1.9
215,Calama,CL,2021-05-12 04:56:02,-22.4667,-68.9333,53.6,17,75,19.57
216,Kibre Mengist,ET,2021-05-12 04:56:02,5.8833,38.9833,61.38,96,100,1.03
217,Laguna,US,2021-05-12 04:56:03,38.421,-121.4238,73.4,33,1,8.05
218,Asau,RO,2021-05-12 04:56:03,46.4333,26.4,55.0,43,2,1.34
219,Flinders,AU,2021-05-12 04:56:04,-34.5833,150.8552,66.0,72,76,8.19
220,Cayenne,GF,2021-05-12 04:56:04,4.9333,-52.3333,77.0,100,99,3.44
221,Kahului,US,2021-05-12 04:54:06,20.8947,-156.47,77.0,57,40,20.71
222,Guilin,CN,2021-05-12 04:56:05,25.2819,110.2864,77.0,83,40,4.47
223,Valparaiso,CL,2021-05-12 04:52:04,-33.0393,-71.6273,54.0,76,2,4.94
224,Mahibadhoo,MV,2021-05-12 04:56:06,3.7833,72.9667,81.37,84,100,25.05
225,Puerto Baquerizo Moreno,EC,2021-05-12 04:56:06,-0.9,-89.6,74.43,87,16,10.96
226,Inyonga,TZ,2021-05-12 04:56:06,-6.7167,32.0667,61.34,83,50,4.88
227,Ribeira Grande,PT,2021-05-12 04:56:07,38.5167,-28.7,61.25,86,12,7.81
228,Caravelas,BR,2021-05-12 04:56:07,-17.7125,-39.2481,69.3,79,1,3.56
229,Cozumel,MX,2021-05-12 04:56:08,20.5083,-86.9458,80.6,83,20,10.36
230,Mangai,CD,2021-05-12 04:55:04,-4.05,19.5333,67.41,81,7,2.48
231,Sumbe,AO,2021-05-12 04:56:08,-11.2061,13.8437,75.99,79,1,5.99
232,Temerloh,MY,2021-05-12 04:56:09,3.4483,102.4176,84.67,82,98,1.1
233,Huarmey,PE,2021-05-12 04:56:09,-10.0681,-78.1522,65.8,85,4,7.72
234,Sawtell,AU,2021-05-12 04:56:10,-30.3833,153.1,69.8,83,100,5.75
235,Dunedin,NZ,2021-05-12 04:56:10,-45.8742,170.5036,50.0,55,36,1.01
236,Labuhan,ID,2021-05-12 04:56:11,-6.8844,112.2051,87.96,62,55,6.98
237,Bowen,AU,2021-05-12 04:56:11,-20.0167,148.2333,84.2,58,51,11.5
238,Lavrentiya,RU,2021-05-12 04:56:12,65.5833,-171.0,33.96,99,100,4.47
239,Nagato,JP,2021-05-12 04:56:12,34.3833,131.2,59.0,100,75,20.71
240,Mangrol,IN,2021-05-12 04:56:12,21.1167,70.1167,86.83,61,2,10.98
241,Mirnyy,RU,2021-05-12 04:56:13,62.5353,113.9611,39.27,50,100,4.61
242,Garmsar,IR,2021-05-12 04:56:13,35.2182,52.3409,75.56,40,48,3.56
243,Grand Gaube,MU,2021-05-12 04:56:14,-20.0064,57.6608,80.01,68,0,4.0
244,Victoria,HK,2021-05-12 04:53:38,22.2855,114.1577,89.01,77,26,1.99
245,Sao Miguel Do Araguaia,BR,2021-05-12 04:55:55,-13.275,-50.1628,71.92,61,59,2.21
246,Tizimin,MX,2021-05-12 04:56:15,21.15,-88.15,76.89,84,22,10.25
247,Wenling,CN,2021-05-12 04:56:15,28.3669,121.36,78.01,86,91,5.46
248,Griffith,US,2021-05-12 04:56:15,41.5284,-87.4237,44.6,75,1,4.47
249,Fairbanks,US,2021-05-12 04:52:55,64.8378,-147.7164,53.6,66,90,3.44
250,Kavieng,PG,2021-05-12 04:56:16,-2.5744,150.7967,80.46,82,95,9.06
251,Makakilo City,US,2021-05-12 04:56:16,21.3469,-158.0858,80.6,54,20,8.05
252,Pori,FI,2021-05-12 04:56:17,61.4833,21.7833,59.0,58,0,8.05
253,Namibe,AO,2021-05-12 04:54:15,-15.1961,12.1522,72.0,63,2,5.97
254,Touros,BR,2021-05-12 04:56:17,-5.1989,-35.4608,73.4,94,0,6.91
255,Noyabrsk,RU,2021-05-12 04:56:18,63.1994,75.4507,46.83,37,28,18.23
256,Tuatapere,NZ,2021-05-12 04:56:18,-46.1333,167.6833,48.99,68,7,1.01
257,Uyuni,BO,2021-05-12 04:56:19,-20.4597,-66.825,44.02,45,13,3.09
258,Zaysan,KZ,2021-05-12 04:56:19,47.4667,84.8667,60.24,31,95,9.42
259,Richmond,US,2021-05-12 04:51:41,37.5538,-77.4603,61.0,51,90,9.42
260,Leningradskiy,RU,2021-05-12 04:56:20,69.3833,178.4167,31.87,94,100,10.18
261,Awbari,LY,2021-05-12 04:56:21,26.5921,12.7805,82.98,11,21,7.34
262,Talnakh,RU,2021-05-12 04:56:21,69.4865,88.3972,34.02,100,100,2.04
263,Wisconsin Rapids,US,2021-05-12 04:56:22,44.3836,-89.8174,37.99,70,1,5.68
264,Areia Branca,BR,2021-05-12 04:56:22,-4.9561,-37.1369,75.02,86,44,9.75
